gene_id	microbiota	se	pval	chr	gene_name	Tissue	diseases
ENSG00000229391.7	genus.Actinomyces.id.423	0.00942039926683799	1.66362946206085e-05	6	HLA-DRB6	Transverse	NA
ENSG00000232629.8	genus.Actinomyces.id.423	0.0140317580684382	0.000164347360530699	6	HLA-DQB2	Transverse	NA
ENSG00000104497.13	genus.Actinomyces.id.423	0.0200520534577304	0.000234537441186235	8	SNX16	Transverse	NA
ENSG00000172613.7	genus.Actinomyces.id.423	0.0438666207801456	0.000263801968496484	11	RAD9A	Transverse	NA
ENSG00000089818.17	genus.Actinomyces.id.423	0.0319907917977123	3.23901889998762e-07	12	NECAP1	Transverse	NA
ENSG00000164845.16	genus.Actinomyces.id.423	0.0058757898851962	7.75061812567777e-06	12	FAM86FP	Transverse	NA
ENSG00000171860.4	genus.Actinomyces.id.423	0.0292751349877016	0.000199960888816654	12	C3AR1	Transverse	NA
ENSG00000175899.14	genus.Actinomyces.id.423	0.00993247883969006	1.97565532352971e-59	12	A2M	Transverse	NA
ENSG00000204856.11	genus.Actinomyces.id.423	0.0485113647369857	2.8074999501178e-05	12	FAM216A	Transverse	NA
ENSG00000214826.5	genus.Actinomyces.id.423	0.00950964039315281	4.84524950884953e-05	12	DDX12P	Transverse	NA
ENSG00000257027.1	genus.Actinomyces.id.423	0.00459341759340676	6.38865974061791e-37	12	RP11-705C15.3	Transverse	NA
ENSG00000184227.7	genus.Actinomyces.id.423	0.0188464995632517	2.71330546627146e-06	14	ACOT1	Transverse	NA
ENSG00000259015.1	genus.Actinomyces.id.423	0.029886787877501	1.80777748753286e-06	14	RP11-109N23.6	Transverse	Alcohol_intake
ENSG00000259015.1	genus.Actinomyces.id.423	0.029886787877501	1.80777748753286e-06	14	RP11-109N23.6	Transverse	FEV1/FVC
ENSG00000103064.13	genus.Actinomyces.id.423	0.0357109557605464	3.25792921343881e-06	16	SLC7A6	Transverse	NA
ENSG00000132600.16	genus.Actinomyces.id.423	0.015463645513579	1.67083458764471e-13	16	PRMT7	Transverse	NA
ENSG00000078814.15	genus.Actinomyces.id.423	0.0244731674648159	1.07472782104952e-06	20	MYH7B	Transverse	NA
ENSG00000101460.12	genus.Actinomyces.id.423	0.0282793022831865	1.84693386153882e-07	20	MAP1LC3A	Transverse	NA
ENSG00000124207.16	genus.Actinomyces.id.423	0.0609781639637656	9.88673683237717e-06	20	CSE1L	Transverse	NA
ENSG00000214078.12	genus.Actinomyces.id.423	0.0122555645301163	5.84771630955755e-05	20	CPNE1	Transverse	NA
ENSG00000018699.11	genus.Actinomyces.id.423	0.0406624841860757	3.8245214334384e-07	2	TTC27	Transverse	NA
ENSG00000115423.18	genus.Actinomyces.id.423	0.0141340236816381	0.000151049984817865	2	DNAH6	Transverse	NA
ENSG00000144034.14	genus.Actinomyces.id.423	0.0347040547729188	0.000547659792062788	2	TPRKB	Transverse	NA
ENSG00000196950.13	genus.Actinomyces.id.423	0.0226521304453136	1.32636900765427e-06	2	SLC39A10	Transverse	NA
ENSG00000138468.15	genus.Actinomyces.id.423	0.0474080428667072	0.000316462414483938	3	SENP7	Transverse	NA
ENSG00000145020.15	genus.Actinomyces.id.423	0.0210588147753814	0.000185116902224132	3	AMT	Transverse	NA
ENSG00000145029.13	genus.Actinomyces.id.423	0.0334256038860184	0.000489679165654135	3	NICN1	Transverse	NA
ENSG00000171109.18	genus.Actinomyces.id.423	0.0395400457839251	0.000316868132974968	3	MFN1	Transverse	NA
ENSG00000173540.12	genus.Actinomyces.id.423	0.0402758579517815	0.000221908445025421	3	GMPPB	Transverse	NA
ENSG00000178252.17	genus.Actinomyces.id.423	0.0171076736246969	0.000118197894807659	3	WDR6	Transverse	NA
ENSG00000198218.10	genus.Actinomyces.id.423	0.0249051060914922	0.000367622651254442	3	QRICH1	Transverse	NA
ENSG00000152348.15	genus.Actinomyces.id.423	0.011949506401269	1.36520194525972e-06	5	ATG10	Transverse	NA
ENSG00000226816.2	genus.Actinomyces.id.423	0.0195239532031426	0.000188944585416324	7	AC005082.12	Transverse	NA
ENSG00000156110.13	genus..Eubacteriumrectalegroup.id.14374	0.0128501899091159	7.71517235325959e-06	10	ADK	Transverse	NA
ENSG00000185009.12	genus..Eubacteriumrectalegroup.id.14374	0.0253429049538876	0.00014986342994912	10	AP3M1	Transverse	NA
ENSG00000117500.12	genus..Eubacteriumrectalegroup.id.14374	0.0450979286774729	7.86366606577956e-06	1	TMED5	Transverse	NA
ENSG00000134744.13	genus..Eubacteriumrectalegroup.id.14374	0.030178863201347	8.36350821461284e-06	1	ZCCHC11	Transverse	NA
ENSG00000154222.14	genus..Eubacteriumrectalegroup.id.14374	0.0232715944820572	2.42270803008081e-05	1	CC2D1B	Transverse	NA
ENSG00000162779.21	genus..Eubacteriumrectalegroup.id.14374	0.0163806113003155	0.000524147078323078	1	AXDND1	Transverse	NA
ENSG00000163393.12	genus..Eubacteriumrectalegroup.id.14374	0.0271713546922851	0.000535069813536139	1	SLC22A15	Transverse	NA
ENSG00000275202.1	genus..Eubacteriumrectalegroup.id.14374	0.0203323896957767	6.59280131234193e-05	13	RP11-156K23.3	Transverse	NA
ENSG00000167077.12	genus..Eubacteriumrectalegroup.id.14374	0.0308086230837171	5.99193754527583e-05	22	MEI1	Transverse	NA
ENSG00000198089.15	genus..Eubacteriumrectalegroup.id.14374	0.0262380237413852	8.20063152515954e-07	22	SFI1	Transverse	Narcolepsy
ENSG00000198089.15	genus..Eubacteriumrectalegroup.id.14374	0.0262380237413852	8.20063152515954e-07	22	SFI1	Transverse	FVC
ENSG00000198089.15	genus..Eubacteriumrectalegroup.id.14374	0.0262380237413852	8.20063152515954e-07	22	SFI1	Transverse	PEF
ENSG00000145354.9	genus..Eubacteriumrectalegroup.id.14374	0.0358360794691747	8.39059326301425e-05	4	CISD2	Transverse	NA
ENSG00000112232.8	genus..Eubacteriumrectalegroup.id.14374	0.0140214181961926	0.000165358906510854	6	KHDRBS2	Transverse	NA
ENSG00000215190.9	genus..Eubacteriumrectalegroup.id.14374	0.00597251971403133	0.000204214906127503	6	LINC00680	Transverse	NA
ENSG00000272316.1	genus..Eubacteriumrectalegroup.id.14374	0.0245608320431791	6.71384700494444e-05	6	XXbac-BPGBPG55C20.2	Transverse	NA
ENSG00000149577.15	genus..Eubacteriumrectalegroup.id.14374	0.0315746974796439	0.000525872203262786	11	SIDT2	Transverse	NA
ENSG00000167800.9	genus..Eubacteriumrectalegroup.id.14374	0.020505539200717	3.40112070292583e-05	11	TBX10	Transverse	NA
ENSG00000278376.1	genus..Eubacteriumrectalegroup.id.14374	0.013027207097058	0.000345634721960735	11	RP11-158I9.8	Transverse	Depression
ENSG00000278376.1	genus..Eubacteriumrectalegroup.id.14374	0.013027207097058	0.000345634721960735	11	RP11-158I9.8	Transverse	Loneliness
ENSG00000278376.1	genus..Eubacteriumrectalegroup.id.14374	0.013027207097058	0.000345634721960735	11	RP11-158I9.8	Transverse	Multiple sclerosis
ENSG00000280143.1	genus..Eubacteriumrectalegroup.id.14374	0.0227973423408016	0.000522465042996823	11	AP000892.6	Transverse	NA
ENSG00000003056.7	genus..Eubacteriumrectalegroup.id.14374	0.0148242217935607	1.36028548071011e-08	12	M6PR	Transverse	NA
ENSG00000069493.14	genus..Eubacteriumrectalegroup.id.14374	0.00558376091161565	3.56450629201098e-22	12	CLEC2D	Transverse	NA
ENSG00000110811.19	genus..Eubacteriumrectalegroup.id.14374	0.0310888668507167	3.93394340962883e-09	12	P3H3	Transverse	NA
ENSG00000111664.10	genus..Eubacteriumrectalegroup.id.14374	0.00553860097099971	2.19845668356537e-05	12	GNB3	Transverse	NA
ENSG00000111788.10	genus..Eubacteriumrectalegroup.id.14374	0.00176501355764626	1.51560192491171e-11	12	RP11-22B23.1	Transverse	NA
ENSG00000136048.13	genus..Eubacteriumrectalegroup.id.14374	0.0548007532279453	0.000397807957421579	12	DRAM1	Transverse	NA
ENSG00000173262.11	genus..Eubacteriumrectalegroup.id.14374	0.00637002672969442	8.92268809107949e-12	12	SLC2A14	Transverse	NA
ENSG00000214826.5	genus..Eubacteriumrectalegroup.id.14374	0.00633151267799257	1.35109950199799e-21	12	DDX12P	Transverse	NA
ENSG00000256069.7	genus..Eubacteriumrectalegroup.id.14374	0.00162711067065323	1.45073675126121e-23	12	A2MP1	Transverse	NA
ENSG00000256673.1	genus..Eubacteriumrectalegroup.id.14374	0.00352575644353208	2.21138982579456e-07	12	RP11-599J14.2	Transverse	NA
ENSG00000257027.1	genus..Eubacteriumrectalegroup.id.14374	0.0030790255691598	1.75726659176881e-10	12	RP11-705C15.3	Transverse	NA
ENSG00000223496.2	genus..Eubacteriumrectalegroup.id.14374	0.00622376272659921	1.09938764582432e-05	16	EXOSC6	Transverse	NA
ENSG00000261556.9	genus..Eubacteriumrectalegroup.id.14374	0.00906397198673773	3.30407223500719e-05	16	SMG1P7	Transverse	NA
ENSG00000267199.1	genus..Eubacteriumrectalegroup.id.14374	0.0143951217359982	6.63415035340945e-05	18	RP11-861E21.2	Transverse	NA
ENSG00000214078.12	genus..Eubacteriumrectalegroup.id.14374	0.00647910049608839	0.000174298393657567	20	CPNE1	Transverse	NA
ENSG00000218739.9	genus..Eubacteriumrectalegroup.id.14374	0.0249729899357851	2.81597273998496e-05	2	CEBPZOS	Transverse	NA
ENSG00000114054.13	genus..Eubacteriumrectalegroup.id.14374	0.0479388684444217	4.57233215919427e-07	3	PCCB	Transverse	NA
ENSG00000144792.9	genus..Eubacteriumrectalegroup.id.14374	0.00949358881845836	6.74701386745285e-06	3	ZNF660	Transverse	NA
ENSG00000145020.15	genus..Eubacteriumrectalegroup.id.14374	0.0141946673914381	0.000455013643416347	3	AMT	Transverse	NA
ENSG00000145029.13	genus..Eubacteriumrectalegroup.id.14374	0.0224791396568308	0.00023816680733511	3	NICN1	Transverse	NA
ENSG00000169087.10	genus..Eubacteriumrectalegroup.id.14374	0.0372703435686363	7.39446274239981e-05	3	HSPBAP1	Transverse	NA
ENSG00000173421.16	genus..Eubacteriumrectalegroup.id.14374	0.0168052472760014	0.000139878819676025	3	CCDC36	Transverse	NA
ENSG00000178252.17	genus..Eubacteriumrectalegroup.id.14374	0.0114577150123765	1.64975249962922e-05	3	WDR6	Transverse	NA
ENSG00000178467.17	genus..Eubacteriumrectalegroup.id.14374	0.0299087274892202	0.00032606550449116	3	P4HTM	Transverse	NA
ENSG00000213672.7	genus..Eubacteriumrectalegroup.id.14374	0.0139805135400955	0.000167072545260207	3	NCKIPSD	Transverse	NA
ENSG00000229759.1	genus..Eubacteriumrectalegroup.id.14374	0.00596224279171795	3.49053975255179e-06	3	MRPS18AP1	Transverse	NA
ENSG00000047188.15	genus..Eubacteriumrectalegroup.id.14374	0.027487406337917	4.94099664715296e-06	5	YTHDC2	Transverse	NA
ENSG00000197362.14	genus..Eubacteriumrectalegroup.id.14374	0.0130866337621775	9.63975707561087e-05	7	ZNF786	Transverse	NA
ENSG00000204947.8	genus..Eubacteriumrectalegroup.id.14374	0.0348220042051661	0.00014305886132314	7	ZNF425	Transverse	NA
ENSG00000226824.6	genus..Eubacteriumrectalegroup.id.14374	0.004115046640567	4.63162547014312e-05	7	RP4-756H11.3	Transverse	NA
ENSG00000277053.4	genus..Eubacteriumrectalegroup.id.14374	0.0211821508546061	0.000119870495190159	7	GTF2IP1	Transverse	NA
ENSG00000203279.3	genus..Eubacteriumrectalegroup.id.14374	0.0109816495673707	4.34477763429013e-05	9	RP11-498P14.5	Transverse	NA
ENSG00000151208.16	genus.Romboutsia.id.11347	0.0262768577508711	0.000217545764748205	10	DLG5	Transverse	NA
ENSG00000232229.5	genus.Romboutsia.id.11347	0.00987007409080135	6.87438168587377e-06	10	LINC00865	Transverse	NA
ENSG00000283709.1	genus.Romboutsia.id.11347	0.0357530906264224	0.000383617100866934	10	LINC00202-1	Transverse	NA
ENSG00000247556.6	genus.Romboutsia.id.11347	0.0184682340433212	5.22555521131998e-05	15	OIP5-AS1	Transverse	NA
ENSG00000249839.1	genus.Romboutsia.id.11347	0.00799374750475261	0.0003289714602534	15	AC011330.5	Transverse	NA
ENSG00000108384.14	genus.Romboutsia.id.11347	0.0183401683765876	1.62098685979167e-05	17	RAD51C	Transverse	NA
ENSG00000183570.16	genus.Romboutsia.id.11347	0.0440129603373473	0.000540074227748549	21	PCBP3	Transverse	NA
ENSG00000167077.12	genus.Romboutsia.id.11347	0.034174251144814	0.000347031505443514	22	MEI1	Transverse	NA
ENSG00000198089.15	genus.Romboutsia.id.11347	0.0290080022423929	1.52104536510116e-06	22	SFI1	Transverse	NA
ENSG00000235513.1	genus.Romboutsia.id.11347	0.0277738016362003	0.000333895790242738	22	RP4-756G23.5	Transverse	NA
ENSG00000241973.10	genus.Romboutsia.id.11347	0.0310729914777571	1.67604899560369e-06	22	PI4KA	Transverse	NA
ENSG00000279159.1	genus.Romboutsia.id.11347	0.013361910168781	1.54532484046678e-06	22	RP3-394A18.1	Transverse	NA
ENSG00000251022.6	genus.Romboutsia.id.11347	0.0457063883839488	0.000394315580363206	4	THAP9-AS1	Transverse	NA
ENSG00000031691.6	genus.Romboutsia.id.11347	0.0117728366225499	0.000230086212578376	6	CENPQ	Transverse	NA
ENSG00000146243.13	genus.Romboutsia.id.11347	0.0170418068256277	0.000185404081130865	6	IRAK1BP1	Transverse	NA
ENSG00000203875.10	genus.Romboutsia.id.11347	0.00591648093806789	0.00035774879423861	6	SNHG5	Transverse	NA
ENSG00000204644.9	genus.Romboutsia.id.11347	0.00502635798052219	3.81372263907489e-06	6	ZFP57	Transverse	NA
ENSG00000241549.8	genus.Romboutsia.id.11347	0.0102427992539996	3.74731411379483e-05	6	GUSBP2	Transverse	NA
ENSG00000279170.1	genus.Romboutsia.id.11347	0.0145781163334477	0.000320216736648213	6	RP1-199J3.6	Transverse	NA
ENSG00000281831.1	genus.Romboutsia.id.11347	0.00566745247379	0.000197759745448257	6	HCP5B	Transverse	NA
ENSG00000175220.11	genus.Romboutsia.id.11347	0.0455292302861759	2.02886850250365e-05	11	ARHGAP1	Transverse	NA
ENSG00000010626.14	genus.Romboutsia.id.11347	0.00354878951223594	3.22431953612415e-30	12	LRRC23	Transverse	NA
ENSG00000111328.6	genus.Romboutsia.id.11347	0.022110039581592	2.68149731607694e-05	12	CDK2AP1	Transverse	NA
ENSG00000111671.9	genus.Romboutsia.id.11347	0.00293585555128648	2.71144871812615e-30	12	SPSB2	Transverse	NA
ENSG00000111676.14	genus.Romboutsia.id.11347	0.017719321552546	2.49682921611185e-16	12	ATN1	Transverse	NA
ENSG00000111678.10	genus.Romboutsia.id.11347	0.00552714385562426	3.01714212089759e-30	12	C12orf57	Transverse	NA
ENSG00000139182.13	genus.Romboutsia.id.11347	0.0118617750570014	7.4302332895666e-12	12	CLSTN3	Transverse	NA
ENSG00000139197.10	genus.Romboutsia.id.11347	0.00311976205823258	4.37638270808491e-17	12	PEX5	Transverse	NA
ENSG00000164845.16	genus.Romboutsia.id.11347	0.00435020235109907	3.00095727917621e-06	12	FAM86FP	Transverse	NA
ENSG00000175899.14	genus.Romboutsia.id.11347	0.00727384140007702	1.80322590498224e-05	12	A2M	Transverse	NA
ENSG00000180481.10	genus.Romboutsia.id.11347	0.00886299218487343	6.14135738024136e-07	12	GLIPR1L2	Transverse	NA
ENSG00000180881.19	genus.Romboutsia.id.11347	0.0224753998379902	6.23623214645365e-07	12	CAPS2	Transverse	NA
ENSG00000205885.7	genus.Romboutsia.id.11347	0.0194549462837216	2.90011731075521e-08	12	C1RL-AS1	Transverse	NA
ENSG00000235423.8	genus.Romboutsia.id.11347	0.0304194873733555	0.000418583758986608	12	RP11-282O18.3	Transverse	NA
ENSG00000256673.1	genus.Romboutsia.id.11347	0.00390284527904636	3.2869392949699e-08	12	RP11-599J14.2	Transverse	NA
ENSG00000256967.1	genus.Romboutsia.id.11347	0.00840410005830554	2.15203871370975e-16	12	RP11-273B20.1	Transverse	NA
ENSG00000257027.1	genus.Romboutsia.id.11347	0.0034197311596987	5.66654847757271e-32	12	RP11-705C15.3	Transverse	NA
ENSG00000257497.2	genus.Romboutsia.id.11347	0.0119463711848669	1.35170471158612e-06	12	RP11-585P4.5	Transverse	NA
ENSG00000185324.21	genus.Romboutsia.id.11347	0.0220559872013597	0.000106190205347313	16	CDK10	Transverse	NA
ENSG00000101752.11	genus.Romboutsia.id.11347	0.0689312218285085	0.000569218295761952	18	MIB1	Transverse	NA
ENSG00000078814.15	genus.Romboutsia.id.11347	0.0177816582983285	0.000194593859209686	20	MYH7B	Transverse	NA
ENSG00000130684.13	genus.Romboutsia.id.11347	0.0375215465220561	2.84658777111737e-07	20	ZNF337	Transverse	NA
ENSG00000213742.6	genus.Romboutsia.id.11347	0.0474337172629787	6.11616175019465e-05	20	ZNF337-AS1	Transverse	NA
ENSG00000135951.14	genus.Romboutsia.id.11347	0.021062201598673	0.000417810484088755	2	TSGA10	Transverse	NA
ENSG00000273302.1	genus.Romboutsia.id.11347	0.0150933453196958	3.36909949877402e-05	2	RP11-493E12.2	Transverse	NA
ENSG00000055955.15	genus.Romboutsia.id.11347	0.0171649561851175	3.00637007333867e-05	3	ITIH4	Transverse	NA
ENSG00000144792.9	genus.Romboutsia.id.11347	0.0105206200341211	2.83824722713871e-06	3	ZNF660	Transverse	NA
ENSG00000164048.13	genus.Romboutsia.id.11347	0.00900493998472705	6.05244213186023e-07	3	ZNF589	Transverse	NA
ENSG00000182179.12	genus.Romboutsia.id.11347	0.0162877089971555	0.000277184602006186	3	UBA7	Transverse	NA
ENSG00000229759.1	genus.Romboutsia.id.11347	0.00658476478322969	1.48147139893621e-06	3	MRPS18AP1	Transverse	NA
ENSG00000240875.5	genus.Romboutsia.id.11347	0.00894310496608916	0.000358498880695324	3	LINC00886	Transverse	NA
ENSG00000249476.1	genus.Romboutsia.id.11347	0.0106696026823096	4.30977576070879e-05	5	CTD-2587M2.1	Transverse	NA
ENSG00000237310.1	genus.Romboutsia.id.11347	0.010314132207493	4.97653469768236e-11	7	GS1-124K5.4	Transverse	NA
ENSG00000166275.15	genus.Adlercreutzia.id.812	0.017016524792571	3.49458952495869e-05	10	BORCS7	Transverse	NA
ENSG00000188199.10	genus.Adlercreutzia.id.812	0.0120734596582325	0.000332206666424905	10	NUTM2B	Transverse	NA
ENSG00000214435.7	genus.Adlercreutzia.id.812	0.0278534535872376	0.000433607833656158	10	AS3MT	Transverse	NA
ENSG00000244733.5	genus.Adlercreutzia.id.812	0.0125717314822796	0.000407349573858615	10	RP11-506M13.3	Transverse	NA
ENSG00000276805.2	genus.Adlercreutzia.id.812	0.0102144363670469	4.04779751160697e-07	10	RP11-291L22.9	Transverse	NA
ENSG00000117500.12	genus.Adlercreutzia.id.812	0.0655385198648649	3.92045007208385e-05	1	TMED5	Transverse	NA
ENSG00000143153.12	genus.Adlercreutzia.id.812	0.101483883738325	0.000328593978167478	1	ATP1B1	Transverse	NA
ENSG00000143622.10	genus.Adlercreutzia.id.812	0.0287653914777405	2.24606148193887e-05	1	RIT1	Transverse	NA
ENSG00000184206.11	genus.Adlercreutzia.id.812	0.00937048824818129	8.21649010516086e-05	15	GOLGA6L4	Transverse	NA
ENSG00000011295.15	genus.Adlercreutzia.id.812	0.0414946050944914	3.78045006726875e-05	17	TTC19	Transverse	NA
ENSG00000196381.10	genus.Adlercreutzia.id.812	0.0366774083126638	0.00025359704327091	19	ZNF781	Transverse	NA
ENSG00000226686.7	genus.Adlercreutzia.id.812	0.0098238280024295	8.88007873222201e-05	19	LINC01535	Transverse	NA
ENSG00000099940.11	genus.Adlercreutzia.id.812	0.0269481894363928	8.16678217079358e-05	22	SNAP29	Transverse	NA
ENSG00000109180.14	genus.Adlercreutzia.id.812	0.0327554166834523	1.44099211088503e-05	4	OCIAD1	Transverse	NA
ENSG00000146243.13	genus.Adlercreutzia.id.812	0.0222113536713971	0.000165962241705641	6	IRAK1BP1	Transverse	NA
ENSG00000197062.11	genus.Adlercreutzia.id.812	0.0237921058130368	6.41715168160693e-05	6	ZSCAN26	Transverse	NA
ENSG00000216901.1	genus.Adlercreutzia.id.812	0.00994119400957733	3.09615718848914e-05	6	ZNF603P	Transverse	NA
ENSG00000235109.7	genus.Adlercreutzia.id.812	0.0118147128907626	9.02252083327063e-06	6	ZSCAN31	Transverse	NA
ENSG00000254851.1	genus.Adlercreutzia.id.812	0.0113420363423558	0.000562609628942731	11	RP11-109L13.1	Transverse	NA
ENSG00000280143.1	genus.Adlercreutzia.id.812	0.0334666750615841	2.69214316416426e-05	11	AP000892.6	Transverse	NA
ENSG00000003056.7	genus.Adlercreutzia.id.812	0.0216972504958505	2.76634189326225e-09	12	M6PR	Transverse	NA
ENSG00000089818.17	genus.Adlercreutzia.id.812	0.0304008756632456	9.04219924804245e-05	12	NECAP1	Transverse	NA
ENSG00000111237.18	genus.Adlercreutzia.id.812	0.040249409476318	5.6141752406543e-06	12	VPS29	Transverse	NA
ENSG00000111664.10	genus.Adlercreutzia.id.812	0.00802572792949937	3.28298575943933e-08	12	GNB3	Transverse	NA
ENSG00000111671.9	genus.Adlercreutzia.id.812	0.00385129477529098	3.16100220107612e-07	12	SPSB2	Transverse	NA
ENSG00000111676.14	genus.Adlercreutzia.id.812	0.0232570563677209	0.000113024581823845	12	ATN1	Transverse	NA
ENSG00000111678.10	genus.Adlercreutzia.id.812	0.00724582444695792	5.23702180091121e-07	12	C12orf57	Transverse	NA
ENSG00000173262.11	genus.Adlercreutzia.id.812	0.0092558167409071	2.81781639225943e-07	12	SLC2A14	Transverse	NA
ENSG00000175899.14	genus.Adlercreutzia.id.812	0.00945713887883448	4.57542909788187e-13	12	A2M	Transverse	NA
ENSG00000184293.7	genus.Adlercreutzia.id.812	0.0138129308907394	0.000461946411434714	12	CLECL1	Transverse	NA
ENSG00000256673.1	genus.Adlercreutzia.id.812	0.00504992968083948	1.06337341486046e-35	12	RP11-599J14.2	Transverse	NA
ENSG00000257027.1	genus.Adlercreutzia.id.812	0.00435498144586935	1.03260022720354e-24	12	RP11-705C15.3	Transverse	NA
ENSG00000226232.8	genus.Adlercreutzia.id.812	0.0250846428584648	6.03039308099249e-05	16	NPIPB14P	Transverse	NA
ENSG00000115524.15	genus.Adlercreutzia.id.812	0.0496881588699347	3.51048373031612e-05	2	SF3B1	Transverse	NA
ENSG00000132031.12	genus.Adlercreutzia.id.812	0.0336003396260512	1.0071924302726e-05	2	MATN3	Transverse	NA
ENSG00000196912.12	genus.Adlercreutzia.id.812	0.0100222918433061	0.00049339046650872	2	ANKRD36B	Transverse	NA
ENSG00000230606.10	genus.Adlercreutzia.id.812	0.00857147521719528	6.69324999704481e-05	2	AC159540.1	Transverse	NA
ENSG00000168038.10	genus.Adlercreutzia.id.812	0.0183857816139466	2.92538207569537e-05	3	ULK4	Transverse	NA
ENSG00000249476.1	genus.Adlercreutzia.id.812	0.0141090126190235	0.000261010424093818	5	CTD-2587M2.1	Transverse	NA
ENSG00000158623.14	genus.Adlercreutzia.id.812	0.0194869205480833	0.000266101945126575	7	COPG2	Transverse	NA
ENSG00000233429.9	genus.Adlercreutzia.id.812	0.0167901994096228	0.000512694205468803	7	HOTAIRM1	Transverse	NA
ENSG00000165730.14	genus..Eubacteriumruminantiumgroup.id.11340	0.0151705248329678	1.96570041393197e-06	10	STOX1	Transverse	NA
ENSG00000182632.15	genus..Eubacteriumruminantiumgroup.id.11340	0.0198648651810702	5.93034910925664e-06	10	CCNYL2	Transverse	NA
ENSG00000185904.11	genus..Eubacteriumruminantiumgroup.id.11340	0.0162592002810983	0.000398589966208041	10	LINC00839	Transverse	NA
ENSG00000276805.2	genus..Eubacteriumruminantiumgroup.id.11340	0.0106453799565811	4.62624643892675e-12	10	RP11-291L22.9	Transverse	NA
ENSG00000060642.10	genus..Eubacteriumruminantiumgroup.id.11340	0.0423498218804087	0.000177585800203651	1	PIGV	Transverse	NA
ENSG00000259905.5	genus..Eubacteriumruminantiumgroup.id.11340	0.0293978662230776	7.67262723867188e-08	15	PWRN1	Transverse	NA
ENSG00000176927.15	genus..Eubacteriumruminantiumgroup.id.11340	0.021205954512975	3.94125590329614e-07	17	EFCAB5	Transverse	NA
ENSG00000021488.12	genus..Eubacteriumruminantiumgroup.id.11340	0.0296797895341918	0.000301770501698303	19	SLC7A9	Transverse	NA
ENSG00000163281.11	genus..Eubacteriumruminantiumgroup.id.11340	0.0303406407611567	0.000123150564337204	4	GNPDA2	Transverse	NA
ENSG00000186470.13	genus..Eubacteriumruminantiumgroup.id.11340	0.00903737274613364	1.22641236633441e-05	6	BTN3A2	Transverse	NA
ENSG00000236173.1	genus..Eubacteriumruminantiumgroup.id.11340	0.0302427334752742	0.000208464804649112	6	RP1-182D15.2	Transverse	NA
ENSG00000279170.1	genus..Eubacteriumruminantiumgroup.id.11340	0.0200350654597469	0.000541812510339144	6	RP1-199J3.6	Transverse	NA
ENSG00000173295.7	genus..Eubacteriumruminantiumgroup.id.11340	0.0121889817695163	4.5177640360777e-06	8	FAM86B3P	Transverse	NA
ENSG00000197140.14	genus..Eubacteriumruminantiumgroup.id.11340	0.0160836325408959	0.000346975659369923	8	ADAM32	Transverse	NA
ENSG00000233609.3	genus..Eubacteriumruminantiumgroup.id.11340	0.0164407548226517	0.000520376029334745	8	RPL10P19	Transverse	NA
ENSG00000253981.5	genus..Eubacteriumruminantiumgroup.id.11340	0.015363702683756	9.4858487735573e-05	8	ALG1L13P	Transverse	NA
ENSG00000269918.1	genus..Eubacteriumruminantiumgroup.id.11340	0.0199491747864699	0.000156351059222783	8	AF131215.9	Transverse	NA
ENSG00000110514.19	genus..Eubacteriumruminantiumgroup.id.11340	0.0367877414291375	1.34932488057095e-06	11	MADD	Transverse	NA
